Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2009-10,Punjab,Sargodha Divn.                                     ,Mianwali,18,182,4,22,3,382,5,72,175,2.098901099,1.25,3.272727273,58.33333333
2010-11,Punjab,Bahawalpur Divn.                      ,Bahawalpur,132,280,6,272,11,882,10,1100,1023,3.15,1.666666667,4.044117647,93
2010-11,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,112,345,63,226,14,1077,127,927,858,3.12173913,2.015873016,4.101769912,61.28571429
2010-11,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,194,302,23,247,81,942,35,877,6522,3.119205298,1.52173913,3.550607287,80.51851852
2010-11,Punjab,D.G.Khan Divn.     ,D.G. Khan,82,175,29,66,4,448,60,213,138,2.56,2.068965517,3.227272727,34.5
2010-11,Punjab,D.G.Khan Divn.     ,Layyah,64,197,4,44,12,456,7,112,468,2.314720812,1.75,2.545454545,39
2010-11,Punjab,D.G.Khan Divn.     ,Muzaffargarh,85,308,15,94,32,823,26,385,801,2.672077922,1.733333333,4.095744681,25.03125
2010-11,Punjab,D.G.Khan Divn.     ,Rajanpur,63,175,5,58,13,377,9,184,1452,2.154285714,1.8,3.172413793,111.6923077
2010-11,Punjab,Faisalabad Divn.            ,Faisalabad,114,284,26,51,96,897,47,130,5472,3.158450704,1.807692308,2.549019608,57
2010-11,Punjab,Faisalabad Divn.            ,Chiniot           ,14,108,33,3,39,335,64,7,2455,3.101851852,1.939393939,2.333333333,62.94871795
2010-11,Punjab,Faisalabad Divn.            ,Jhang,125,272,59,64,40,797,103,161,2723,2.930147059,1.745762712,2.515625,68.075
2010-11,Punjab,Faisalabad Divn.            ,T.T. Singh,68,156,33,48,36,539,62,112,2422,3.455128205,1.878787879,2.333333333,67.27777778
2010-11,Punjab,Gujranwala Divn.     ,Gujranwala,121,233,241,0,2,733,507,0,97,3.145922747,2.10373444,0,48.5
2010-11,Punjab,Gujranwala Divn.     ,Gujrat,41,151,41,0,2,288,64,0,107,1.907284768,1.56097561,0,53.5
2010-11,Punjab,Gujranwala Divn.     ,Hafizabad,44,153,127,0,6,487,263,0,206,3.183006536,2.070866142,0,34.33333333
2010-11,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,57,137,82,2,28,359,139,2,1518,2.620437956,1.695121951,1,54.21428571
2010-11,Punjab,Gujranwala Divn.     ,Narowal,56,163,90,0,2,382,158,0,61,2.343558282,1.755555556,0,30.5
2010-11,Punjab,Gujranwala Divn.     ,Sialkot,48,216,154,0,1,570,312,0,51,2.638888889,2.025974026,0,51
2010-11,Punjab,Lahore Divn.                                        ,Lahore,92,65,33,0,0.2,186,59,0,18,2.861538462,1.787878788,0,90
2010-11,Punjab,Lahore Divn.                                        ,Kasur                                                        ,97,187,79,17,36,578,147,36,2008,3.090909091,1.860759494,2.117647059,55.77777778
2010-11,Punjab,Lahore Divn.                                        ,Nankana Sahib,35,114,96,0,17,341,173,0,914,2.99122807,1.802083333,0,53.76470588
2010-11,Punjab,Lahore Divn.                                        ,Sheikhupura,72,223,202,0,3,678,338,0,167,3.040358744,1.673267327,0,55.66666667
2010-11,Punjab,Multan Divn.                                      ,Multan,203,186,11,167,3,521,17,611,141,2.801075269,1.545454545,3.658682635,47
2010-11,Punjab,Multan Divn.                                      ,Khanewal,108,203,25,194,8,628,43,729,462,3.093596059,1.72,3.757731959,57.75
2010-11,Punjab,Multan Divn.                                      ,Lodhran                                                    ,103,186,7,205,2,580,10,687,95,3.11827957,1.428571429,3.351219512,47.5
2010-11,Punjab,Multan Divn.                                      ,Vehari,148,243,24,223,15,767,44,838,1125,3.156378601,1.833333333,3.757847534,75
2010-11,Punjab,Rawalpindi Divn.                               ,Rawalpindi,30,115,0,0,0,158,0,0,0,1.373913043,0,0,0
2010-11,Punjab,Rawalpindi Divn.                               ,Attock,6,156,0,0,0.2,253,0,0,8,1.621794872,0,0,40
2010-11,Punjab,Rawalpindi Divn.                               ,Chakwal,3,126,0,0,0,166,0,0,0,1.317460317,0,0,0
2010-11,Punjab,Rawalpindi Divn.                               ,Jhelum,13,49,1,0.2,0.2,92,2,0.5,7,1.87755102,2,2.5,35
2010-11,Punjab,Sahiwal Divn.                                   ,Sahiwal,104,140,27,87,8,453,55,310,353,3.235714286,2.037037037,3.563218391,44.125
2010-11,Punjab,Sahiwal Divn.                                   ,Okara,147,218,122,31,15,783,287,110,850,3.591743119,2.352459016,3.548387097,56.66666667
2010-11,Punjab,Sahiwal Divn.                                   ,Pakpattan,88,147,47,50,4,555,115,203,330,3.775510204,2.446808511,4.06,82.5
2010-11,Punjab,Sargodha Divn.                                     ,Sargodha,84,219,40,10,56,565,63,21,3357,2.579908676,1.575,2.1,59.94642857
2010-11,Punjab,Sargodha Divn.                                     ,Bhakkar,27,182,1,18,13,444,2,40,766,2.43956044,2,2.222222222,58.92307692
2010-11,Punjab,Sargodha Divn.                                     ,Khushab,13,92,18,1,5,186,31,4,321,2.02173913,1.722222222,4,64.2
2010-11,Punjab,Sargodha Divn.                                     ,Mianwali,21,172,3,23,3,412,5,55,185,2.395348837,1.666666667,2.391304348,61.66666667
2011-12,Punjab,Bahawalpur Divn.                      ,Bahawalpur,120,262,4,284,15,837,7,1364,1107,3.194656489,1.75,4.802816901,73.8
2011-12,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,119,336,47,251,16,989,94,1240,1007,2.943452381,2,4.940239044,62.9375
2011-12,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,188,286,18,244,94,887,33,1125,7781,3.101398601,1.833333333,4.610655738,82.77659574
2011-12,Punjab,D.G.Khan Divn.     ,D.G. Khan,79,168,30,98,2,448,70,392,257,2.666666667,2.333333333,4,128.5
2011-12,Punjab,D.G.Khan Divn.     ,Layyah,61,191,7,48,9,456,9,147,629,2.387434555,1.285714286,3.0625,69.88888889
2011-12,Punjab,D.G.Khan Divn.     ,Muzaffargarh,90,299,23,171,28,823,41,661,2372,2.752508361,1.782608696,3.865497076,84.71428571
2011-12,Punjab,D.G.Khan Divn.     ,Rajanpur,58,160,2,124,12,377,4,475,1281,2.35625,2,3.830645161,106.75
2011-12,Punjab,Faisalabad Divn.            ,Faisalabad,95,281,28,61,105,856,46,170,5769,3.046263345,1.642857143,2.786885246,54.94285714
2011-12,Punjab,Faisalabad Divn.            ,Chiniot           ,30,98,29,4,43,301,56,10,2618,3.071428571,1.931034483,2.5,60.88372093
2011-12,Punjab,Faisalabad Divn.            ,Jhang,116,261,56,74,49,741,91,215,3221,2.83908046,1.625,2.905405405,65.73469388
2011-12,Punjab,Faisalabad Divn.            ,T.T. Singh,71,153,30,59,42,476,53,192,2721,3.111111111,1.766666667,3.254237288,64.78571429
2011-12,Punjab,Gujranwala Divn.     ,Gujranwala,123,236,249,0,2,823,545,0,116,3.487288136,2.18875502,0,58
2011-12,Punjab,Gujranwala Divn.     ,Gujrat,21,151,37,0,2,266,56,0,108,1.761589404,1.513513514,0,54
2011-12,Punjab,Gujranwala Divn.     ,Hafizabad,52,154,126,0,5,475,252,0,251,3.084415584,2,0,50.2
2011-12,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,61,136,80,2,34,371,149,4,1842,2.727941176,1.8625,2,54.17647059
2011-12,Punjab,Gujranwala Divn.     ,Narowal,57,169,91,0,2,373,146,0,63,2.207100592,1.604395604,0,31.5
2011-12,Punjab,Gujranwala Divn.     ,Sialkot,32,205,151,0,2,597,290,0,53,2.912195122,1.920529801,0,26.5
2011-12,Punjab,Lahore Divn.                                        ,Lahore,70,64,32,0,0.2,192,56,0,18,3,1.75,0,90
